gender,eng,count,pr_fa,abjad,pr_en,origin,civil_registration_approved
دختر,sana,76899,ثنا,551,sanā,عربی,تایید شده
دختر,samin,25615,ثمين,600,samin,عربی,تایید شده
دختر,sorayya,159065,ثريا,711,sorayyā,عربی,تایید شده
دختر,samar,2294,ثمر,740,samar,عربی,تایید شده
دختر,samina,2091,ثمينا,601,saminā,"فارسی , عربی",تایید شده
پسر,samer,988,ثامر,741,sāmer,عربی,تایید شده
دختر,samineh,2247,ثمينه,605,samine,عربی,تایید شده
پسر,samen,963,ثامن,591,sāmen,عربی,تایید شده
پسر,savban,112,ثوبان,559,savbān,عربی,تایید شده
پسر,sagheb,101,ثاقب,603,sāqeb,عربی,تایید شده
پسر,sanaollah,1032,ثناءالله,617,sanāollāh,عربی,تایید شده
دختر,samileh,101,ثميله,585,samile,عربی,تایید شده
دختر,sabete,101,ثابته,908,sābete,عربی,تایید شده
دختر,samareh,1020,ثمره,745,samare,عربی,تایید شده
دختر,saman,444,ثمن,590,saman,عربی,تایید شده
دختر,sanaya,101,ثنايا,562,sanāyā,عربی,تایید شده
دختر,samila,108,ثميلا,581,samilā,عربی,تایید شده
پسر,sarallah,,ثارالله,767,sarallah,عربی,نامشخص
دختر,saniyeh,,ثانیه,566,saniye,عربی,نامشخص
دختر,servat,,ثروت,1106,servat,عربی,نامشخص
دختر,sanagu,,ثناگو,577,sanāgu,فارسی,نامشخص
پسر,sovaybah,,ثویبه,523,sovayba,عربی,نامشخص
دختر,samaneh,,ثمانه,596,Samāne,عربی,نامشخص
پسر,arad,36039,آراد,206,ārād,فارسی,تایید شده
پسر,artin,44957,آرتين,661,ārtin,فارسی,تایید شده
دختر,asna,21726,آسنا,112,āsnā,اوستایی,تایید شده
دختر,avina,14118,آوينا,68,āvinā,فارسی,تایید شده
پسر,ayhan,,آیهان,67,ayhan,ترکی,نامشخص
پسر,ariya,60267,آريا,212,āriyā,فارسی,تایید شده
پسر,arsam,18298,آرسام,302,ārsām,فارسی,تایید شده
دختر,ava,53443,آوا,8,āvā,فارسی,تایید شده
پسر,arvin,29192,آروين,267,ārvin,فارسی,تایید شده
دختر,ania,,آنیا,62,ania,"ترکی , کردی , فارسی , یونانی",نامشخص
دختر,avin,10721,آوين,67,āvin,"کردی , فارسی",تایید شده
پسر,araz,9460,آراز,209,ārāz,ترکی,تایید شده
پسر,arkan,101,آرکان,272,arkān,ترکی,تایید شده
دختر,anisa,17495,آنيسا,122,ānisā,"ترکی , فارسی , اوستایی , یونانی",تایید شده
پسر,arta,7826,آرتا,602,ārtā,فارسی,تایید شده
پسر,armin,85750,آرمين,301,ārmin,فارسی,تایید شده
دختر,ylina,56476,آيلين,101,ylinā,ترکی,تایید شده
پسر,ariyan,63371,آرين,261,āriyan,فارسی,تایید شده
دختر,artemis,4301,آرتميس,711,ārtemis,"فارسی , یونانی",تایید شده
دختر,ayeh,7185,آيه,16,āyeh,عربی,تایید شده
دختر,ay naz,61616,آيناز,69,āy nāz,"ترکی , فارسی",تایید شده
دختر,ariyana,9223,آريانا,263,āriyānā,فارسی,تایید شده
دختر,ayla,6678,آيلا,42,āylā,ترکی,تایید شده
دختر,ala,5239,آلاء,32,ālā,عربی,تایید شده
دختر,anil,3446,آنيل,91,ānil,ترکی,تایید شده
دختر,aysel,6590,آيسل,101,āysel,ترکی,تایید شده
پسر,adarin,9258,آدرین,265,ādarin,"فارسی , لاتین",تایید شده
پسر,arman,67925,آرمان,292,ārmān,فارسی,تایید شده
دختر,anila,,آنیلا,92,anila,ترکی,نامشخص
پسر,arsha,4412,آرشا,502,āršā,فارسی,تایید شده
پسر,ayin,1863,آئین,71,"āyin , āin",فارسی,تایید شده
دختر,atena,79194,آتنا,452,ātenā,"عربی , یونانی",تایید شده
دختر,andiya,6915,آنديا,66,āndiyā,فارسی,تایید شده
دختر,aysan,28603,آيسان,122,āysān,"ترکی , فارسی",تایید شده
پسر,arsin,,آرسین,321,arsin,فارسی,نامشخص
پسر,aykan,,آیکان,82,aykan,ترکی,نامشخص
پسر,abtin,7005,آبتين,463,ābtin,فارسی,تایید شده
دختر,adarina,10598,آدرينا,266,ādarinā,فارسی,تایید شده
دختر,arnica,5593,آرنيکا,282,ārnicā,فارسی,تایید شده
دختر,arshida,10833,آرشيدا,516,āršidā,فارسی,تایید شده
دختر,ay sa,16711,آيسا,72,āy sā,"ترکی , فارسی",تایید شده
پسر,arshavin,101,آرشاوین,568,āršāvin,فارسی,تایید شده
پسر,aryas,,آریاس,272,aryas,فارسی,نامشخص
پسر,arsen,757,آرسن,311,ārsen,"پهلوی , عبری",تایید شده
پسر,arshavir,1046,آرشاوير,718,āršāvir,فارسی,تایید شده
پسر,amin,1040,آمين,101,āmin,"عربی , عبری",تایید شده
دختر,armita,25980,آرميتا,652,ārmitā,"پهلوی , اوستایی",تایید شده
پسر,arnick,,آرنیک,281,arnick,فارسی,نامشخص
پسر,aras,3106,آراس,262,ārās,ترکی,تایید شده
پسر,artan,2616,آرتان,652,ārtān,فارسی,تایید شده
دختر,arosha,2802,آروشا,508,ārošā,فارسی,تایید شده
دختر,asman,890,آسمان,152,āsemān,فارسی,تایید شده
دختر,ala,5930,آلا,32,ālā,پهلوی,تایید شده
دختر,ayda,97552,آيدا,16,āydā,"ترکی , فارسی , لاتین",تایید شده
دختر,ay nur,3165,آينور,267,āy nur,"ترکی , عربی",تایید شده
پسر,artia,,آرتیا,612,artia,فارسی,نامشخص
دختر,aymah,,آیماه,57,āymāh,ترکی,نامشخص
دختر,adliya,672,آدلیا,46,ādliyā,"ترکی , فارسی",تایید شده
پسر,avash,,آوش,307,avash,فارسی,نامشخص
پسر,aran,3370,آران,252,ārān,فارسی,تایید شده
پسر,arun,589,آرون,257,ārun,فارسی,تایید شده
پسر,ariyan,11710,آريان,262,āriyān,فارسی,تایید شده
دختر,anita,29417,آنيتا,462,ānitā,"فارسی , اوستایی",تایید شده
دختر,avan,1771,آوان,58,āvān,کردی,تایید شده
دختر,ayra,129,آيرا,212,āyrā,ترکی,تایید شده
دختر,aysu,4272,آيسو,77,āysu,ترکی,تایید شده
دختر,armis,,آرمیس,311,armis,فارسی,نامشخص
دختر,anahel,,آناهل,87,anahel,فارسی,نامشخص
پسر,akay,,آکای,32,akay,ترکی,نامشخص
پسر,artam,596,آرتام,642,ārtām,فارسی,تایید شده
دختر,ahu,12727,آهو,12,āhu,فارسی,تایید شده
پسر,arash,123573,آرش,501,āraš,"فارسی , اوستایی",تایید شده
پسر,ariu,4060,آريو,217,āriu,فارسی,تایید شده
دختر,adina,637,آدينا,66,ādinā,فارسی,تایید شده
دختر,ay lar,23059,آيلار,242,āy lār,ترکی,تایید شده
پسر,ayan,,آیان,62,ayan,ترکی,نامشخص
پسر,arda,,آردا,206,arda,فارسی,نامشخص
پسر,atila,5340,آتيلا,442,ātilā,ترکی,تایید شده
دختر,atarina,3562,آترينا,662,ātarinā,فارسی,تایید شده
دختر,ana,8583,آنا,52,ānā,ترکی,تایید شده
دختر,ayli,826,آيلي,51,āyli,ترکی,تایید شده
پسر,ayrad,,آیراد,216,ayrad,"ترکی , فارسی",نامشخص
پسر,advin,,آدوین,71,advin,کردی,نامشخص
پسر,arat,120,آرات,602,ārāt,ترکی,تایید شده
پسر,arsan,1026,آرسان,312,ārsān,فارسی,تایید شده
پسر,arsham,13837,آرشام,542,āršām,فارسی,تایید شده
پسر,ayrik,343,آيريک,241,āyrik,فارسی,تایید شده
دختر,atusa,13229,آتوسا,468,ātusā,یونانی,تایید شده
دختر,asu,1369,آسو,67,āsu,"کردی , پهلوی , اوستایی",تایید شده
دختر,anashid,299,آناشید,366,ānāšid,"ترکی , فارسی",تایید شده
دختر,anahita,25571,آناهيتا,468,ānāhitā,"فارسی , اوستایی",تایید شده
دختر,ayna,647,آينا,62,āynā,ترکی,تایید شده
دختر,adriyana,,آدریانا,267,adriyana,زرتشتی,نامشخص
دختر,asenat,,آسنات,512,asenat,یونانی,نامشخص
پسر,ariyamehr,,آریامهر,457,ariyamehr,فارسی,نامشخص
دختر,anida,,آنیدا,66,anida,فارسی,نامشخص
پسر,arteman,192,آرتمن,691,ārteman,فارسی,تایید شده
پسر,arshan,1329,آرشان,552,āršān,فارسی,تایید شده
پسر,ariu barzan,833,آريوبرزن,476,āriu barzan,فارسی,تایید شده
پسر,akam,3482,آکام,62,ākām,"کردی , فارسی",تایید شده
پسر,amyar,545,آميار,252,āmyār,کردی,تایید شده
دختر,atrisa,4076,آتريسا,672,ātrisā,فارسی,تایید شده
دختر,artina,2278,آرتينا,662,ārtinā,فارسی,تایید شده
دختر,armina,4452,آرمينا,302,ārminā,فارسی,تایید شده
دختر,arisa,3867,آريسا,272,ārisā,فارسی,تایید شده
دختر,avisa,3343,آويسا,78,āvisā,فارسی,تایید شده
دختر,aysana,2633,آيسانا,123,āysānā,"ترکی , فارسی",تایید شده
پسر,armiya,101,آرمیا,252,armiyā,فارسی,تایید شده
دختر,arshina,,آرشینا,562,arshina,فارسی,نامشخص
پسر,arhan,,آرهان,257,arhan,ترکی,نامشخص
دختر,anika,,آنیکا,82,anika,"فارسی , عبری , لاتین , سانسکریت",نامشخص
پسر,arako,,آراکو,228,arako,کردی,نامشخص
پسر,aren,,آرن,251,aren,فارسی,نامشخص
پسر,ayaz,5051,آياز,19,ayāz,"ترکی , گیلکی",تایید شده
پسر,artiman,614,آرتيمان,702,ārtimān,فارسی,تایید شده
پسر,arses,377,آرسس,321,ārses,فارسی,تایید شده
پسر,ariyaz,514,آرياز,219,āriyāz,"فارسی , اوستایی",تایید شده
پسر,aydin,22248,آيدين,75,āydin,ترکی,تایید شده
دختر,aram,9236,آرام,242,ārām,فارسی,تایید شده
دختر,aramesh,518,آرامش,542,ārāmeš,فارسی,تایید شده
دختر,arezu,155476,آرزو,214,ārezu,فارسی,تایید شده
دختر,ariyana,9160,آرينا,262,āriyanā,"کردی , فارسی",تایید شده
دختر,agarin,1428,آگرين,281,āgarin,کردی,تایید شده
دختر,alma,2195,آلما,72,ālmā,ترکی,تایید شده
دختر,anli,163,آنلي,91,ānli,ترکی,تایید شده
دختر,aytak,2599,آيتک,431,āytak,"ترکی , فارسی",تایید شده
دختر,ay shen,928,آيشن,361,āy šen,ترکی,تایید شده
دختر,ayma,759,آيما,52,āymā,"ترکی , فارسی",تایید شده
پسر,arniya,,آرنیا,262,arniya,فارسی,نامشخص
پسر,ariel,,آریل,241,ariel,عبری,نامشخص
دختر,anid,,آنید,65,anid,فارسی,نامشخص
دختر,ada,,آدا,6,ada,اوستایی,نامشخص
پسر,arvid,,آروید,221,arvid,فارسی,نامشخص
پسر,arshiya,27777,آرشيا,512,aršiyā,فارسی,تایید شده
پسر,alan,4161,آلان,82,ālān,"کردی , فارسی",تایید شده
دختر,ayrin,1282,آيرين,271,āyrin,"کردی , فارسی",تایید شده
دختر,ay sen,3063,آيسن,121,āy sen,ترکی,تایید شده
دختر,anael,,آنائل,92,anael,"عبری , فرانسوی",نامشخص
پسر,avat,2223,آوات,408,āvāt,کردی,تایید شده
پسر,ayden,389,آیدن,65,āyden,ترکی,تایید شده
دختر,aban,101,آبان,54,ābān,پهلوی,تایید شده
دختر,ata naz,665,آتاناز,460,ātā nāz,"ترکی , فارسی",تایید شده
دختر,atarin,2707,آترين,661,ātarin,فارسی,تایید شده
دختر,ariya naz,604,آرياناز,270,āriyā nāz,فارسی,تایید شده
دختر,asa,614,آسا,62,āsā,فارسی,تایید شده
دختر,alina,1107,آلينا,92,ālinā,فارسی,تایید شده
دختر,amitis,2003,آميتيس,521,āmitis,فارسی,تایید شده
دختر,anusha,2775,آنوشا,358,ānušā,فارسی,تایید شده
دختر,avaz,301,آواز,15,āvāz,فارسی,تایید شده
دختر,atriya,,آتریا,612,atriya,فارسی,نامشخص
پسر,adriyan,,آدریان,266,adriyan,لاتین,نامشخص
پسر,aro,,آرو,207,aro,کردی,نامشخص
پسر,atmin,144,آتمين,501,ātmin,ترکی,تایید شده
پسر,arukku,101,آروکو,233,ārukku,فارسی,تایید شده
پسر,arvand,229,آروند,261,ārvand,فارسی,تایید شده
پسر,ariurad,101,آریوراد,422,āriurād,فارسی,تایید شده
پسر,azad,13560,آزاد,13,āzād,فارسی,تایید شده
پسر,astiyag,101,آستياگ,492,āstiyāg,فارسی,تایید شده
دختر,artonis,101,آرتونيس,727,ārtonis,فارسی,تایید شده
دختر,arnush,482,آرنوش,557,ārnuš,فارسی,تایید شده
دختر,alin,780,آلين,91,ālin,ترکی,تایید شده
دختر,amanda,410,آماندا,97,āmāndā,ترکی,تایید شده
دختر,anese,680,آنسه,116,ānese,عربی,تایید شده
دختر,ayat,5313,آيات,412,āyāt,عربی,تایید شده
دختر,ay para,276,آی پارا,215,āy pārā,ترکی,تایید شده
پسر,ataman,,آتامان,493,ataman,ترکی,نامشخص
دختر,arsina,,آرسینا,322,arsina,فارسی,نامشخص
پسر,arivan,,آریوان,268,arivan,کردی,نامشخص
پسر,azhovan,,آژوان,58,azhovan,کردی,نامشخص
دختر,alis,,آلیس,101,alis,فرانسوی,نامشخص
پسر,ahil,,آهیل,46,ahil,گیلکی,نامشخص
دختر,arkiya,,آرکیا,232,arkiya,فارسی,نامشخص
دختر,arva,,آروا,208,arva,کردی,نامشخص
پسر,arnam,,آرنام,292,arnam,فارسی,نامشخص
دختر,arvina,,آروینا,268,arvina,سانسکریت,نامشخص
پسر,argash,,آرگش,521,argash,کردی,نامشخص
پسر,arshin,,آرشین,561,arshin,فارسی,نامشخص
پسر,arta man,101,آرتامن,692,artā man,فارسی,تایید شده
پسر,ariyam,123,آريام,252,āriyām,فارسی,تایید شده
پسر,ariya man,275,آريامن,302,āriyā man,فارسی,تایید شده
پسر,asef,6091,آصف,171,āsef,عربی,تایید شده
پسر,alp,101,آلپ,33,ālp,ترکی,تایید شده
دختر,atin,204,آتين,461,ātin,اوستایی,تایید شده
دختر,atiye,3997,آتيه,416,ātiye,عربی,تایید شده
دختر,azar,76923,آذر,901,āzar,"پهلوی , اوستایی",تایید شده
دختر,azin,9725,آذين,761,āzin,فارسی,تایید شده
دختر,ara,904,آرا,202,ārā,فارسی,تایید شده
دختر,ayriya,101,آيريا,222,āyriyā,فارسی,تایید شده
دختر,ay suda,2791,آيسودا,82,āy sudā,ترکی,تایید شده
دختر,ay gul,602,آيگل,61,āy gul,"ترکی , فارسی",تایید شده
دختر,ay nam,101,آينام,102,āy nām,"ترکی , فارسی",تایید شده
دختر,ay nush,227,آينوش,367,āy nuš,"ترکی , فارسی",تایید شده
پسر,atash,,آتاش,702,atash,ترکی,نامشخص
پسر,anam,,آنام,92,anam,عربی,نامشخص
دختر,anima,,آنیما,102,anima,سانسکریت,نامشخص
دختر,abnaz,,آبناز,61,abnaz,فارسی,نامشخص
پسر,aliya,,آلیا,42,aliya,عبری,نامشخص
دختر,anis,,آنیس,121,anis,یونانی,نامشخص
دختر,ayjan,,آیجان,65,ayjan,ترکی,نامشخص
دختر,ayshil,,آیشیل,351,ayshil,ترکی,نامشخص
پسر,ahir,,آهیر,216,ahir,کردی,نامشخص
پسر,atakan,,آتاکان,473,atakan,ترکی,نامشخص
دختر,avana,,آوانا,59,avana,فارسی,نامشخص
دختر,arsana,,آرسانا,313,arsana,سانسکریت,نامشخص
پسر,ako,,آکو,27,ako,کردی,نامشخص
پسر,ariyasam,,آریا سام,313,ariyasam,فارسی,نامشخص
پسر,aryanik,,آریانیک,292,aryanik,فارسی,نامشخص
پسر,ata,312,آتا,402,ātā,ترکی,تایید شده
پسر,atbin,428,آتبين,463,ātbin,"اوستایی , سانسکریت",تایید شده
پسر,adli,101,آدلی,45,ādli,ترکی,تایید شده
پسر,artamehr,101,آرتامهر,847,ārtāmehr,اوستایی,تایید شده
پسر,ardin,595,آردين,265,ārdin,فارسی,تایید شده
